"001","002","003","004","005","006","007","008","009","010"
15740,19756,15790,13045,12638,17017,21250,23145,23876,20301
18256,22272,18306,15561,15154,19533,23766,25661,26392,22817
19358,23374,19408,16663,16256,20635,24869,26763,27494,23919
21153,19981,18328,22121,21714,26094,23663,23280,28776,29378
21816,25831,21865,19120,18714,23093,27326,29221,29952,26377
21051,25067,21101,18356,17949,22329,26562,28456,29187,25613
31961,30789,28651,25906,25499,29878,34111,34088,36737,33162
30196,29025,27371,25502,25095,29474,32706,32323,37819,32758
30352,29180,27527,30858,30451,34831,32862,32479,37975,38249
35013,33841,32187,34839,34432,38811,37523,37139,42636,42095
