"001","002","003","004","005","006","007","008","009","010"
5648,3326,6518,9392,14748,17615,8042,6632,10140,14838
18117,16945,16179,19051,24408,27274,20627,20244,26534,30602
14985,13813,13047,15919,21276,24142,17495,17112,23402,27470
18767,17596,15942,17178,19952,24591,21277,20894,26390,27919
11570,10399,9632,12504,17861,20727,14080,13697,19987,24055
8952,7780,6109,10451,15807,18673,11461,11078,17933,22001
12711,11540,8758,15276,20632,23498,15221,14838,20334,26826
5507,6513,3181,5452,11410,14277,9151,9811,15726,17604
10070,12494,7757,6971,9138,10555,18405,17555,21030,18559
13067,14707,10741,12260,11854,14929,18103,19768,20728,18257
