"001","002","003","004","005","006","007","008","009","010"
40898,38258,34258,47685,50203,46313,44084,38863,41042,45740
36932,34292,40845,43719,46339,42450,40220,34897,37178,41876
32481,29841,25841,39268,41911,38022,35792,30445,32750,37448
41094,38453,34453,47880,50398,46509,44279,39058,41237,45936
34738,32097,28097,41524,44167,40278,38049,32702,35007,39705
36324,33683,29683,43110,45754,41864,39635,34288,36593,41291
44002,41362,48664,51315,53409,49520,47290,41967,44248,48946
50587,47947,43947,54285,59892,56002,53773,48552,50731,55429
59698,58527,56873,59524,59117,62740,60510,55289,57469,62167
90641,89469,87816,93205,90571,95210,93151,92768,98264,98538
