"001","002","003","004","005","006","007","008","009","010"
22499,29157,25191,19647,19130,21916,25089,26984,27715,25244
21611,28270,24304,18760,18243,18949,22122,24017,24748,22277
32077,36092,32126,29381,22380,23086,26259,28154,28885,26414
25780,32439,28473,22929,22412,23118,26291,28186,28917,26446
38263,42279,38313,35568,35161,39541,34579,36474,37205,34734
29449,37132,33166,26692,27089,26740,29913,31808,32539,30068
71576,79259,75293,68820,69216,68867,72040,73935,74666,72195
44661,48676,44710,41965,32690,32341,35514,37408,38139,35668
22586,30269,26303,19829,20226,19877,23050,24945,25676,23205
26032,33715,29749,23275,23671,23323,26496,28390,29121,26650
