"001","002","003","004","005","006","007","008","009","010"
19045,18192,18064,21486,26843,37701,35471,30125,32429,37128
26417,23776,30329,33203,35976,32087,29857,24381,26815,31514
28323,25683,32236,35110,37730,33840,31611,26287,28569,33267
32706,30065,26054,29476,42112,38223,35994,30670,32952,37650
36040,33400,39953,42827,45447,41558,39328,34005,36286,40984
37514,34874,41427,44301,46921,43032,40802,35479,37760,42458
52419,49778,56331,59205,61825,57936,55706,50383,52665,57363
70597,67956,63956,77383,79901,76012,73782,68561,70741,75439
42762,40122,36122,49549,53438,49549,47319,40727,44278,48976
41443,38802,34802,48229,50747,46858,44628,39407,41586,46284
