"001","002","003","004","005","006","007","008","009","010"
19388,18637,25184,21875,23092,19203,16973,14576,12428,18630
18612,18194,24741,21099,22316,18427,16197,13800,11653,17854
14934,14451,20998,17421,18639,14749,12520,10122,7975,14176
16376,15892,22440,18863,20080,16191,13962,11564,9417,15618
11147,10671,17219,13634,14852,10962,8733,6335,4188,10389
16209,17442,23990,18696,19914,16024,13795,14925,9250,15451
12497,10020,16568,14984,16201,12312,10083,7503,7041,11739
15992,13352,19900,20067,21285,17395,15166,10835,12124,16822
21602,18962,25510,25677,26895,23005,20776,16445,17734,22432
30618,27978,34526,34693,35910,32021,29792,25460,26750,31448
