"001","002","003","004","005","006","007","008","009","010"
12076,13276,9310,9381,8974,13354,16672,18337,19297,16638
6619,8527,4306,4101,6804,7686,14616,13587,17242,14771
10841,14857,10891,8146,7739,12119,16352,18246,18977,15403
9840,16499,12533,6988,6471,9530,12703,14598,15329,12858
10079,16738,12772,7227,6711,7853,11026,12921,13651,11181
6970,14653,10687,4213,4610,5709,8882,10777,11507,9037
12280,19060,15094,9045,9641,6588,10283,12177,12908,10437
12586,19814,15848,10790,9894,8551,11724,13619,10515,7824
16235,23463,19497,14439,13543,12200,15373,17268,14164,11473
13316,22050,14523,11850,10954,8219,11621,13515,11905,9215
