"001","002","003","004","005","006","007","008","009","010"
39355,38183,36529,39181,38774,43153,41865,41481,49557,46437
29135,27963,26310,28961,28554,32933,31645,31262,36758,36217
27231,26060,24406,29795,27161,31800,29741,29358,34854,35128
26905,25733,24080,23864,23457,27837,29415,29031,34528,31121
18451,17280,15626,21015,18381,23020,20961,20578,26074,26348
16315,15143,13489,12636,16642,20049,18824,18441,23937,23377
17458,16688,17508,14763,14356,18736,22969,19986,25594,22020
12959,16975,13009,10264,9857,14237,18470,20365,21095,17521
13013,17029,13063,10318,9911,14291,18524,20418,21149,17575
17029,21045,17079,14334,13927,18306,22540,24434,25165,21590
