"001","002","003","004","005","006","007","008","009","010"
46733,45561,43907,46559,46152,50531,49243,48859,66036,53815
41007,39836,38182,40833,40426,52580,50351,45027,47309,52007
41925,39285,45838,38511,51331,47442,45213,39889,42171,46869
36046,33405,29405,42832,45475,41586,39357,34010,36315,41013
13749,12577,10924,16313,14926,24536,16259,15875,21372,27864
17216,16044,14390,15627,18401,23040,19726,19342,24839,26368
35753,34581,32928,35579,35172,39551,38263,37880,43641,48339
36748,35577,33923,36574,36167,47271,45042,39695,42000,46698
32373,31201,29548,32199,31792,36171,34883,34500,43532,39455
41164,39992,38338,40990,40583,44962,43674,43290,44789,49487
