"001","002","003","004","005","006","007","008","009","010"
15971,24706,17178,14505,13610,10875,14277,16171,14561,11871
19313,27473,23507,17847,16951,14216,17618,19512,32645,15212
18675,20899,20325,17652,16757,14022,17724,19318,27868,14377
16598,18822,27142,17637,18845,15191,15646,17608,14476,12300
14373,16597,24917,15413,16620,12967,13422,15383,12252,10075
14284,16508,20581,13562,12667,8268,10576,12395,11392,8030
13428,13259,23872,18458,17562,12021,9420,8313,5907,6874
16060,16718,26605,17100,18307,14654,15109,12555,9591,11762
18409,20633,28953,19449,20656,17002,17457,19419,21432,14111
18415,25129,28959,19455,20662,17008,23466,21068,18921,14117
