"001","002","003","004","005","006","007","008","009","010"
0,2927,4351,4441,6546,4623,2547,5222,8836,6253
3803,0,4422,5244,7460,8466,5822,4561,9453,10310
3225,4362,0,4108,6325,7330,6868,7661,14667,9478
2860,4990,3905,0,2591,4027,6584,10485,11216,8745
6973,13245,9279,2714,0,8251,10517,12412,13143,10672
4926,7075,6640,3211,4088,0,4113,6074,7524,5053
2782,4720,6144,5388,6804,2941,0,3986,7008,4426
5438,5499,12046,8044,11181,5598,2656,0,3471,6719
7434,7863,14411,9921,11138,7249,5020,2446,0,3786
4960,6899,8323,7852,9070,5180,2546,4507,5176,0
