"001","002","003","004","005","006","007","008","009","010"
28616,25977,32524,32692,33909,30020,27790,23459,27401,29446
29192,28441,34989,31679,32896,29007,26777,24380,22233,28434
22192,21441,27988,24678,25896,22007,19777,17379,15232,21433
23822,25564,32112,24862,30020,22415,23901,21503,19356,19524
25862,25111,31659,28349,29566,25677,23447,21050,18903,25104
23798,26022,34342,24838,26045,22392,22847,28754,26607,19500
39713,44352,50257,40753,41960,38306,42689,40291,38144,35415
23865,26089,34409,24905,26112,22458,22913,24875,27437,19567
23645,32845,34189,24684,20952,22238,22693,28784,26637,19346
29517,31741,40061,30556,31764,28110,28565,30526,33089,25219
