"001","002","003","004","005","006","007","008","009","010"
6518,8742,9614,6185,8840,3513,4398,6360,6457,1853
8014,9786,9221,6549,5653,2918,6320,8214,8945,6474
9785,12009,11362,7933,11654,5261,7569,9388,7713,5023
8408,10347,11770,11535,12517,9089,5993,5556,4520,3448
11440,10360,16908,13927,15144,11255,9025,4683,2238,5682
8444,5803,12356,15230,17797,13908,6886,5077,8637,13335
8688,6066,12110,10129,20340,17793,10359,8949,12522,17220
11799,9476,12890,15764,26871,22982,20752,15429,17710,22408
12553,9931,12043,15465,20822,23688,13444,12106,15620,20319
9217,6894,9118,11992,17349,20215,11611,10200,13709,18407
