"001","002","003","004","005","006","007","008","009","010"
38451,37279,35626,41015,38381,43020,40961,40578,46074,46348
48147,46975,45321,50711,48077,52716,50656,50273,55770,56044
42783,41611,39958,45347,42713,47352,45293,44910,50406,50680
36056,34884,33231,30751,30344,34724,38566,38182,43679,38008
32990,31819,30165,29393,28987,33366,35500,35117,40613,36650
40182,39010,37356,37788,37381,41760,42691,42308,47804,45044
61155,59984,58330,63720,61085,65724,63665,63282,68778,69052
42150,50276,42200,39455,39048,43428,47661,49555,50286,46712
38808,42824,38858,36113,35706,40086,44319,46213,46944,43370
33037,37053,33087,30341,29935,34314,38547,40442,41173,37598
