"001","002","003","004","005","006","007","008","009","010"
28123,35806,31840,25366,25762,25413,28587,30481,31212,28741
40596,48278,44312,37839,38235,37886,41059,42954,43685,41214
39504,47187,43221,36747,37143,36795,39968,41862,42593,40122
56150,63833,59867,53393,53789,53440,56614,58508,59239,56768
35199,42882,38916,32442,32839,32490,35663,37557,38288,35817
27721,35404,31438,24964,25361,25012,28185,30080,30811,28340
30409,38092,34126,27652,28049,27700,30873,32768,33499,31028
34002,41685,37719,31245,31642,31293,34466,36361,37092,34621
33177,40860,36894,30420,30816,30467,33641,35535,36266,33795
36400,44082,40116,33643,34039,33690,36863,38758,39489,37018
