"001","002","003","004","005","006","007","008","009","010"
35290,42972,39006,32533,32929,32580,35754,37648,38379,35908
15584,23266,19300,12827,13223,12874,16048,17942,18673,16202
17523,25206,21240,14766,15162,14813,17987,19881,18774,16083
19538,25492,21526,15052,16846,12777,16472,18366,17467,14776
16770,21972,18006,11532,11929,10009,13704,15598,14699,12008
42912,40271,46824,49698,52318,48429,46200,40876,43158,47856
18303,15663,22216,25492,26710,22820,20591,17495,17549,22247
18404,15764,22317,25191,25597,21708,19478,16383,16437,21135
17268,14628,21181,24055,26284,22394,20165,17069,17123,21821
18878,16238,22791,25665,28285,24395,22166,16842,19124,23822
