"001","002","003","004","005","006","007","008","009","010"
45225,49241,45275,42530,42123,46502,50736,52630,53361,49786
13380,20039,16073,10529,10012,10718,13891,15786,16517,14046
11064,17723,13757,8212,7696,10754,13927,15822,16553,14082
12689,19348,15382,9837,9321,12379,15552,17447,18178,15707
16639,23298,19332,13787,13271,13977,17150,19044,19775,17304
16243,22901,18935,13391,12874,15223,18396,20291,21021,18551
15981,21404,17438,11894,11377,13272,16445,18340,19071,16600
18112,25795,21829,15355,15751,15402,18576,20470,21201,18730
20578,28261,24295,17821,18217,17868,21042,22936,23667,21196
21569,29252,25286,18812,19209,18860,22033,23927,24658,22187
