"001","002","003","004","005","006","007","008","009","010"
14320,11680,18233,21107,23727,19837,17608,12284,14566,19264
15374,12734,19287,22161,24781,20891,18662,13338,15620,20318
20561,17921,24474,27348,29968,26079,23849,18526,20807,25505
21438,18798,25351,28225,30845,26955,24726,19402,21684,26382
18289,15649,22202,25076,27719,23829,21600,16253,18558,23256
15943,13303,19856,22730,25349,21460,19231,13907,16189,20887
28567,25927,32480,35354,37974,34085,31855,26532,28813,33511
23302,20662,27215,30089,32732,28843,26613,21267,23571,28269
15531,14677,14550,17972,23328,30019,27789,22443,24748,29446
13347,12493,12366,15788,21144,24010,15857,17505,26643,31341
